#bit-address;#reg_name;#channel;#digit;#value
871;en_oc_dout1;;;1
870;en_oc_dout2;;;0
869;en_oc_transmiton1;;;1
868;en_oc_transmiton2;;;0
867;en_oc_chipsat;;;1
866;sel_start_ro;;;1
865;sel_end_ro;;;1
864;NC;;;0
#bit-address;#reg_name;#channel;#digit;#value
863;NC;;;0
862;NC;;;0
861;NC;;;0
860;ck_mux;;;1
859;sc_on;;;1
858;raz_chn_ext;;;0
857;raz_chn_int;;;1
856;trg_ext_valid;;;0
#bit-address;#reg_name;#channel;#digit;#value
855;disc_or_or;;;1
854;en_trig_out;;;0
853;nor64_0;;;1
852;nor64_1;;;0
851;nor64_2;;;0
850;on/off ota_bg;;;1
849;on/off dac;;;1
848;small_dac;;;1
#bit-address;#reg_name;#channel;#digit;#value
847;dac2;;9;0
846;dac2;;8;0
845;dac2;;7;1
844;dac2;;6;0
843;dac2;;5;1
842;dac2;;4;1
841;dac2;;3;0
840;dac2;;2;1
#bit-address;#reg_name;#channel;#digit;#value
839;dac2;;1;0
838;dac2;;0;0
837;dac1;;9;0
836;dac1;;8;0
835;dac1;;7;1
834;dac1;;6;0
833;dac1;;5;1
832;dac1;;4;1
#bit-address;#reg_name;#channel;#digit;#value
831;dac1;;3;0
830;dac1;;2;1
829;dac1;;1;0
828;dac1;;0;0
827;dac0;;9;0
826;dac0;;8;0
825;dac0;;7;1
824;dac0;;6;0
#bit-address;#reg_name;#channel;#digit;#value
823;dac0;;5;1
822;dac0;;4;1
821;dac0;;3;0
820;dac0;;2;1
819;dac0;;1;0
818;dac0;;0;0
817;chip_id;;7;0
816;chip_id;;6;0
#bit-address;#reg_name;#channel;#digit;#value
815;chip_id;;5;0
814;chip_id;;4;0
813;chip_id;;3;0
812;chip_id;;2;0
811;chip_id;;1;0
810;chip_id;;0;0
809;mask;63;2;1
808;mask;63;1;1
#bit-address;#reg_name;#channel;#digit;#value
807;mask;63;0;1
806;mask;62;2;1
805;mask;62;1;1
804;mask;62;0;1
803;mask;61;2;1
802;mask;61;1;1
801;mask;61;0;1
800;mask;60;2;1
#bit-address;#reg_name;#channel;#digit;#value
799;mask;60;1;1
798;mask;60;0;1
797;mask;59;2;1
796;mask;59;1;1
795;mask;59;0;1
794;mask;58;2;1
793;mask;58;1;1
792;mask;58;0;1
#bit-address;#reg_name;#channel;#digit;#value
791;mask;57;2;1
790;mask;57;1;1
789;mask;57;0;1
788;mask;56;2;1
787;mask;56;1;1
786;mask;56;0;1
785;mask;55;2;1
784;mask;55;1;1
#bit-address;#reg_name;#channel;#digit;#value
783;mask;55;0;1
782;mask;54;2;1
781;mask;54;1;1
780;mask;54;0;1
779;mask;53;2;1
778;mask;53;1;1
777;mask;53;0;1
776;mask;52;2;1
#bit-address;#reg_name;#channel;#digit;#value
775;mask;52;1;1
774;mask;52;0;1
773;mask;51;2;1
772;mask;51;1;1
771;mask;51;0;1
770;mask;50;2;1
769;mask;50;1;1
768;mask;50;0;1
#bit-address;#reg_name;#channel;#digit;#value
767;mask;49;2;1
766;mask;49;1;1
765;mask;49;0;1
764;mask;48;2;1
763;mask;48;1;1
762;mask;48;0;1
761;mask;47;2;1
760;mask;47;1;1
#bit-address;#reg_name;#channel;#digit;#value
759;mask;47;0;1
758;mask;46;2;1
757;mask;46;1;1
756;mask;46;0;1
755;mask;45;2;1
754;mask;45;1;1
753;mask;45;0;1
752;mask;44;2;1
#bit-address;#reg_name;#channel;#digit;#value
751;mask;44;1;1
750;mask;44;0;1
749;mask;43;2;1
748;mask;43;1;1
747;mask;43;0;1
746;mask;42;2;1
745;mask;42;1;1
744;mask;42;0;1
#bit-address;#reg_name;#channel;#digit;#value
743;mask;41;2;1
742;mask;41;1;1
741;mask;41;0;1
740;mask;40;2;1
739;mask;40;1;1
738;mask;40;0;1
737;mask;39;2;1
736;mask;39;1;1
#bit-address;#reg_name;#channel;#digit;#value
735;mask;39;0;1
734;mask;38;2;1
733;mask;38;1;1
732;mask;38;0;1
731;mask;37;2;1
730;mask;37;1;1
729;mask;37;0;1
728;mask;36;2;1
#bit-address;#reg_name;#channel;#digit;#value
727;mask;36;1;1
726;mask;36;0;1
725;mask;35;2;1
724;mask;35;1;1
723;mask;35;0;1
722;mask;34;2;1
721;mask;34;1;1
720;mask;34;0;1
#bit-address;#reg_name;#channel;#digit;#value
719;mask;33;2;1
718;mask;33;1;1
717;mask;33;0;1
716;mask;32;2;1
715;mask;32;1;1
714;mask;32;0;1
713;mask;31;2;1
712;mask;31;1;1
#bit-address;#reg_name;#channel;#digit;#value
711;mask;31;0;1
710;mask;30;2;1
709;mask;30;1;1
708;mask;30;0;1
707;mask;29;2;1
706;mask;29;1;1
705;mask;29;0;1
704;mask;28;2;1
#bit-address;#reg_name;#channel;#digit;#value
703;mask;28;1;1
702;mask;28;0;1
701;mask;27;2;1
700;mask;27;1;1
699;mask;27;0;1
698;mask;26;2;1
697;mask;26;1;1
696;mask;26;0;1
#bit-address;#reg_name;#channel;#digit;#value
695;mask;25;2;1
694;mask;25;1;1
693;mask;25;0;1
692;mask;24;2;1
691;mask;24;1;1
690;mask;24;0;1
689;mask;23;2;1
688;mask;23;1;1
#bit-address;#reg_name;#channel;#digit;#value
687;mask;23;0;1
686;mask;22;2;1
685;mask;22;1;1
684;mask;22;0;1
683;mask;21;2;1
682;mask;21;1;1
681;mask;21;0;1
680;mask;20;2;1
#bit-address;#reg_name;#channel;#digit;#value
679;mask;20;1;1
678;mask;20;0;1
677;mask;19;2;1
676;mask;19;1;1
675;mask;19;0;1
674;mask;18;2;1
673;mask;18;1;1
672;mask;18;0;1
#bit-address;#reg_name;#channel;#digit;#value
671;mask;17;2;1
670;mask;17;1;1
669;mask;17;0;1
668;mask;16;2;1
667;mask;16;1;1
666;mask;16;0;1
665;mask;15;2;1
664;mask;15;1;1
#bit-address;#reg_name;#channel;#digit;#value
663;mask;15;0;1
662;mask;14;2;1
661;mask;14;1;1
660;mask;14;0;1
659;mask;13;2;1
658;mask;13;1;1
657;mask;13;0;1
656;mask;12;2;1
#bit-address;#reg_name;#channel;#digit;#value
655;mask;12;1;1
654;mask;12;0;1
653;mask;11;2;1
652;mask;11;1;1
651;mask;11;0;1
650;mask;10;2;1
649;mask;10;1;1
648;mask;10;0;1
#bit-address;#reg_name;#channel;#digit;#value
647;mask;9;2;1
646;mask;9;1;1
645;mask;9;0;1
644;mask;8;2;1
643;mask;8;1;1
642;mask;8;0;1
641;mask;7;2;1
640;mask;7;1;1
#bit-address;#reg_name;#channel;#digit;#value
639;mask;7;0;1
638;mask;6;2;1
637;mask;6;1;1
636;mask;6;0;1
635;mask;5;2;1
634;mask;5;1;1
633;mask;5;0;1
632;mask;4;2;1
#bit-address;#reg_name;#channel;#digit;#value
631;mask;4;1;1
630;mask;4;0;1
629;mask;3;2;1
628;mask;3;1;1
627;mask;3;0;1
626;mask;2;2;1
625;mask;2;1;1
624;mask;2;0;1
#bit-address;#reg_name;#channel;#digit;#value
623;mask;1;2;1
622;mask;1;1;1
621;mask;1;0;1
620;mask;0;2;1
619;mask;0;1;1
618;mask;0;0;1
617;rs_or_discri;;;1
616;on/off discri1;;;1
#bit-address;#reg_name;#channel;#digit;#value
615;on/off discri2;;;1
614;on/off discri0;;;1
613;on/off otaq;;;1
612;en_otaq;;;0
611;sw_50f0;;;1
610;sw_100f0;;;1
609;sw_100k0;;;0
608;sw_50k0;;;0
#bit-address;#reg_name;#channel;#digit;#value
607;on/off fsb1;;;1
606;on/off fsb2;;;1
605;on/off fsb0;;;1
604;sel_fsb;;1;0
603;sel_fsb;;0;1
602;sw_50f1;;;1
601;sw_100f1;;;1
600;sw_100k1;;;0
#bit-address;#reg_name;#channel;#digit;#value
599;sw_50k1;;;0
598;cmdb_fsb1;;0;1
597;cmdb_fsb1;;1;1
596;cmdb_fsb1;;2;0
595;cmdb_fsb1;;3;1
594;sw_50f2;;;1
593;sw_100f2;;;1
592;sw_100k2;;;0
#bit-address;#reg_name;#channel;#digit;#value
591;sw_50k2;;;0
590;cmdb_fsb2;;0;1
589;cmdb_fsb2;;1;1
588;cmdb_fsb2;;2;0
587;cmdb_fsb2;;3;1
586;on/off w;;;1
585;on/off ss;;;0
584;on/off buf;;;1
#bit-address;#reg_name;#channel;#digit;#value
583;sw_ssc;;2;1
582;sw_ssc;;1;1
581;sw_ssc;;0;1
580;cmdb_ss;;3;0
579;cmdb_ss;;2;0
578;cmdb_ss;;1;0
577;cmdb_ss;;0;0
576;on/off pa;;;1
#bit-address;#reg_name;#channel;#digit;#value
575;preamp;63;7;1
574;preamp;63;6;0
573;preamp;63;5;0
572;preamp;63;4;0
571;preamp;63;3;0
570;preamp;63;2;0
569;preamp;63;1;0
568;preamp;63;0;0
#bit-address;#reg_name;#channel;#digit;#value
567;preamp;62;7;1
566;preamp;62;6;0
565;preamp;62;5;0
564;preamp;62;4;0
563;preamp;62;3;0
562;preamp;62;2;0
561;preamp;62;1;0
560;preamp;62;0;0
#bit-address;#reg_name;#channel;#digit;#value
559;preamp;61;7;1
558;preamp;61;6;0
557;preamp;61;5;0
556;preamp;61;4;0
555;preamp;61;3;0
554;preamp;61;2;0
553;preamp;61;1;0
552;preamp;61;0;0
#bit-address;#reg_name;#channel;#digit;#value
551;preamp;60;7;1
550;preamp;60;6;0
549;preamp;60;5;0
548;preamp;60;4;0
547;preamp;60;3;0
546;preamp;60;2;0
545;preamp;60;1;0
544;preamp;60;0;0
#bit-address;#reg_name;#channel;#digit;#value
543;preamp;59;7;1
542;preamp;59;6;0
541;preamp;59;5;0
540;preamp;59;4;0
539;preamp;59;3;0
538;preamp;59;2;0
537;preamp;59;1;0
536;preamp;59;0;0
#bit-address;#reg_name;#channel;#digit;#value
535;preamp;58;7;1
534;preamp;58;6;0
533;preamp;58;5;0
532;preamp;58;4;0
531;preamp;58;3;0
530;preamp;58;2;0
529;preamp;58;1;0
528;preamp;58;0;0
#bit-address;#reg_name;#channel;#digit;#value
527;preamp;57;7;1
526;preamp;57;6;0
525;preamp;57;5;0
524;preamp;57;4;0
523;preamp;57;3;0
522;preamp;57;2;0
521;preamp;57;1;0
520;preamp;57;0;0
#bit-address;#reg_name;#channel;#digit;#value
519;preamp;56;7;1
518;preamp;56;6;0
517;preamp;56;5;0
516;preamp;56;4;0
515;preamp;56;3;0
514;preamp;56;2;0
513;preamp;56;1;0
512;preamp;56;0;0
#bit-address;#reg_name;#channel;#digit;#value
511;preamp;55;7;1
510;preamp;55;6;0
509;preamp;55;5;0
508;preamp;55;4;0
507;preamp;55;3;0
506;preamp;55;2;0
