#RFM;#HR;ch;mask
0;0;0;7
0;0;1;7
0;0;2;7
0;0;3;7
0;0;4;7
0;0;5;7
0;0;6;7
0;0;7;7
0;0;8;7
0;0;9;7
0;0;10;7
0;0;11;7
0;0;12;7
0;0;13;7
0;0;14;7
0;0;15;7
0;0;16;7
0;0;17;7
0;0;18;7
0;0;19;7
0;0;20;7
0;0;21;7
0;0;22;7
0;0;23;7
0;0;24;7
0;0;25;7
0;0;26;7
0;0;27;7
0;0;28;7
0;0;29;7
0;0;30;7
0;0;31;7
0;0;32;7
0;0;33;7
0;0;34;7
0;0;35;7
0;0;36;7
0;0;37;7
0;0;38;7
0;0;39;7
0;0;40;7
0;0;41;7
0;0;42;7
0;0;43;7
0;0;44;7
0;0;45;7
0;0;46;7
0;0;47;7
0;0;48;7
0;0;49;7
0;0;50;7
0;0;51;7
0;0;52;7
0;0;53;7
0;0;54;7
0;0;55;7
0;0;56;7
0;0;57;7
0;0;58;7
0;0;59;7
0;0;60;7
0;0;61;7
0;0;62;7
0;0;63;7
0;1;0;7
0;1;1;7
0;1;2;7
0;1;3;7
0;1;4;7
0;1;5;7
0;1;6;7
0;1;7;7
0;1;8;7
0;1;9;7
0;1;10;7
0;1;11;7
0;1;12;7
0;1;13;7
0;1;14;7
0;1;15;7
0;1;16;7
0;1;17;7
0;1;18;7
0;1;19;7
0;1;20;7
0;1;21;7
0;1;22;7
0;1;23;7
0;1;24;7
0;1;25;7
0;1;26;7
0;1;27;7
0;1;28;7
0;1;29;7
0;1;30;7
0;1;31;7
0;1;32;7
0;1;33;7
0;1;34;7
0;1;35;7
0;1;36;0
0;1;37;0
0;1;38;0
0;1;39;0
0;1;40;0
0;1;41;0
0;1;42;0
0;1;43;0
0;1;44;0
0;1;45;0
0;1;46;0
0;1;47;0
0;1;48;0
0;1;49;0
0;1;50;0
0;1;51;0
0;1;52;0
0;1;53;0
0;1;54;0
0;1;55;0
0;1;56;0
0;1;57;0
0;1;58;0
0;1;59;0
0;1;60;0
0;1;61;0
0;1;62;0
0;1;63;0
0;2;0;7
0;2;1;7
0;2;2;7
0;2;3;7
0;2;4;7
0;2;5;7
0;2;6;7
0;2;7;7
0;2;8;7
0;2;9;7
0;2;10;7
0;2;11;7
0;2;12;7
0;2;13;7
0;2;14;7
0;2;15;7
0;2;16;7
0;2;17;7
0;2;18;7
0;2;19;7
0;2;20;7
0;2;21;7
0;2;22;7
0;2;23;7
0;2;24;7
0;2;25;7
0;2;26;7
0;2;27;7
0;2;28;7
0;2;29;7
0;2;30;7
0;2;31;7
0;2;32;7
0;2;33;7
0;2;34;7
0;2;35;7
0;2;36;7
0;2;37;7
0;2;38;7
0;2;39;7
0;2;40;7
0;2;41;7
0;2;42;7
0;2;43;7
0;2;44;7
0;2;45;7
0;2;46;7
0;2;47;7
0;2;48;7
0;2;49;7
0;2;50;7
0;2;51;7
0;2;52;7
0;2;53;7
0;2;54;7
0;2;55;7
0;2;56;7
0;2;57;7
0;2;58;7
0;2;59;7
0;2;60;7
0;2;61;7
0;2;62;7
0;2;63;7
0;3;0;6
0;3;1;6
0;3;2;6
0;3;3;6
0;3;4;6
0;3;5;6
0;3;6;6
0;3;7;7
0;3;8;7
0;3;9;7
0;3;10;7
0;3;11;7
0;3;12;7
0;3;13;7
0;3;14;7
0;3;15;7
0;3;16;7
0;3;17;7
0;3;18;7
0;3;19;7
0;3;20;7
0;3;21;7
0;3;22;7
0;3;23;7
0;3;24;7
0;3;25;7
0;3;26;7
0;3;27;7
0;3;28;7
0;3;29;7
0;3;30;7
0;3;31;7
0;3;32;7
0;3;33;7
0;3;34;7
0;3;35;7
0;3;36;7
0;3;37;7
0;3;38;7
0;3;39;7
0;3;40;7
0;3;41;7
0;3;42;7
0;3;43;7
0;3;44;7
0;3;45;7
0;3;46;7
0;3;47;7
0;3;48;7
0;3;49;7
0;3;50;7
0;3;51;7
0;3;52;7
0;3;53;7
0;3;54;7
0;3;55;7
0;3;56;7
0;3;57;7
0;3;58;7
0;3;59;7
0;3;60;7
0;3;61;7
0;3;62;7
0;3;63;7
0;4;0;7
0;4;1;7
0;4;2;7
0;4;3;7
0;4;4;7
0;4;5;7
0;4;6;7
0;4;7;7
0;4;8;7
0;4;9;7
0;4;10;7
0;4;11;7
0;4;12;7
0;4;13;7
0;4;14;7
0;4;15;7
0;4;16;7
0;4;17;7
0;4;18;7
0;4;19;7
0;4;20;7
0;4;21;7
0;4;22;7
0;4;23;7
0;4;24;7
0;4;25;7
0;4;26;7
0;4;27;7
0;4;28;7
0;4;29;7
0;4;30;7
0;4;31;7
0;4;32;7
0;4;33;7
0;4;34;7
0;4;35;7
0;4;36;7
0;4;37;7
0;4;38;7
0;4;39;7
0;4;40;7
0;4;41;7
0;4;42;7
0;4;43;7
0;4;44;7
0;4;45;7
0;4;46;7
0;4;47;7
0;4;48;7
0;4;49;7
0;4;50;7
0;4;51;7
0;4;52;7
0;4;53;7
0;4;54;7
0;4;55;7
0;4;56;7
0;4;57;7
0;4;58;7
0;4;59;7
0;4;60;7
0;4;61;7
0;4;62;7
0;4;63;7
0;5;0;6
0;5;1;6
0;5;2;6
0;5;3;6
0;5;4;6
0;5;5;6
0;5;6;6
0;5;7;7
0;5;8;7
0;5;9;7
0;5;10;7
0;5;11;7
0;5;12;7
0;5;13;7
0;5;14;7
0;5;15;7
0;5;16;7
0;5;17;7
0;5;18;7
0;5;19;7
0;5;20;7
0;5;21;7
0;5;22;7
0;5;23;7
0;5;24;7
0;5;25;7
0;5;26;7
0;5;27;7
0;5;28;7
0;5;29;7
0;5;30;7
0;5;31;7
0;5;32;7
0;5;33;7
0;5;34;7
0;5;35;7
0;5;36;7
0;5;37;7
0;5;38;7
0;5;39;7
0;5;40;7
0;5;41;7
0;5;42;7
0;5;43;7
0;5;44;7
0;5;45;7
0;5;46;7
0;5;47;7
0;5;48;7
0;5;49;7
0;5;50;7
0;5;51;7
0;5;52;7
0;5;53;7
0;5;54;7
