#RFM;#HR;ch;gain
0;0;0;255
0;0;1;255
0;0;2;255
0;0;3;255
0;0;4;255
0;0;5;255
0;0;6;255
0;0;7;255
0;0;8;255
0;0;9;255
0;0;10;255
0;0;11;255
0;0;12;255
0;0;13;255
0;0;14;255
0;0;15;255
0;0;16;255
0;0;17;255
0;0;18;255
0;0;19;255
0;0;20;255
0;0;21;255
0;0;22;255
0;0;23;255
0;0;24;255
0;0;25;255
0;0;26;255
0;0;27;255
0;0;28;255
0;0;29;255
0;0;30;255
0;0;31;255
0;0;32;255
0;0;33;255
0;0;34;255
0;0;35;255
0;0;36;255
0;0;37;255
0;0;38;255
0;0;39;255
0;0;40;255
0;0;41;255
0;0;42;255
0;0;43;255
0;0;44;255
0;0;45;255
0;0;46;255
0;0;47;255
0;0;48;255
0;0;49;255
0;0;50;255
0;0;51;255
0;0;52;255
0;0;53;255
0;0;54;255
0;0;55;255
0;0;56;255
0;0;57;255
0;0;58;255
0;0;59;255
0;0;60;255
0;0;61;255
0;0;62;255
0;0;63;255
0;1;0;255
0;1;1;255
0;1;2;255
0;1;3;255
0;1;4;255
0;1;5;255
0;1;6;255
0;1;7;255
0;1;8;255
0;1;9;255
0;1;10;255
0;1;11;255
0;1;12;255
0;1;13;255
0;1;14;255
0;1;15;255
0;1;16;255
0;1;17;255
0;1;18;255
0;1;19;255
0;1;20;255
0;1;21;255
0;1;22;255
0;1;23;255
0;1;24;255
0;1;25;255
0;1;26;255
0;1;27;255
0;1;28;255
0;1;29;255
0;1;30;255
0;1;31;255
0;1;32;255
0;1;33;255
0;1;34;255
0;1;35;255
0;1;36;255
0;1;37;255
0;1;38;255
0;1;39;255
0;1;40;255
0;1;41;255
0;1;42;255
0;1;43;255
0;1;44;255
0;1;45;255
0;1;46;255
0;1;47;255
0;1;48;255
0;1;49;255
0;1;50;255
0;1;51;255
0;1;52;255
0;1;53;255
0;1;54;255
0;1;55;255
0;1;56;255
0;1;57;255
0;1;58;255
0;1;59;255
0;1;60;255
0;1;61;255
0;1;62;255
0;1;63;255
0;2;0;255
0;2;1;255
0;2;2;255
0;2;3;255
0;2;4;255
0;2;5;255
0;2;6;255
0;2;7;255
0;2;8;255
0;2;9;255
0;2;10;255
